sr	category_en	occupation_en	category_mr	occupation_mr
1	IT & Software	Software Engineer	IT आणि सॉफ्टवेअर	सॉफ्टवेअर इंजिनिअर
2	IT & Software	Web Developer	IT आणि सॉफ्टवेअर	वेब डेव्हलपर
3	IT & Software	Mobile App Developer	IT आणि सॉफ्टवेअर	मोबाईल ॲप डेव्हलपर
4	IT & Software	Data Scientist	IT आणि सॉफ्टवेअर	डेटा सायंटिस्ट
5	IT & Software	Data Analyst	IT आणि सॉफ्टवेअर	डेटा ॲनलिस्ट
6	IT & Software	UI Designer	IT आणि सॉफ्टवेअर	UI डिझाइनर
7	IT & Software	UX Designer	IT आणि सॉफ्टवेअर	UX डिझाइनर
8	IT & Software	DevOps Engineer	IT आणि सॉफ्टवेअर	डेव्हऑप्स इंजिनिअर
9	IT & Software	Cloud Architect	IT आणि सॉफ्टवेअर	क्लाउड आर्किटेक्ट
10	IT & Software	Cyber Security Expert	IT आणि सॉफ्टवेअर	सायबर सिक्युरिटी एक्सपर्ट
11	IT & Software	AI Engineer	IT आणि सॉफ्टवेअर	AI इंजिनिअर
12	IT & Software	Machine Learning Engineer	IT आणि सॉफ्टवेअर	मशीन लर्निंग इंजिनिअर
13	IT & Software	Software Testing Engineer	IT आणि सॉफ्टवेअर	सॉफ्टवेअर टेस्टिंग इंजिनिअर
14	IT & Software	QA Automation Engineer	IT आणि सॉफ्टवेअर	QA ऑटोमेशन इंजिनिअर
15	IT & Software	Product Manager	IT आणि सॉफ्टवेअर	प्रॉडक्ट मॅनेजर
16	IT & Software	Database Administrator	IT आणि सॉफ्टवेअर	डेटाबेस ॲडमिनिस्ट्रेटर
17	IT & Software	Game Developer	IT आणि सॉफ्टवेअर	गेम डेव्हलपर
18	IT & Software	IT Support Executive	IT आणि सॉफ्टवेअर	IT सपोर्ट कर्मचारी
19	IT & Software	BPO Executive	IT आणि सॉफ्टवेअर	BPO कर्मचारी
20	IT & Software	Full Stack Developer	IT आणि सॉफ्टवेअर	फुल स्टॅक डेव्हलपर
21	IT & Software	Blockchain Developer	IT आणि सॉफ्टवेअर	ब्लॉकचेन डेव्हलपर
22	Business & Admin	Business Owner	व्यवसाय आणि प्रशासन	स्वतःचा मोठा व्यवसाय
23	Business & Admin	Small Business Owner	व्यवसाय आणि प्रशासन	स्वतःचा छोटा व्यवसाय
24	Business & Admin	CEO	व्यवसाय आणि प्रशासन	मुख्य कार्यकारी अधिकारी (CEO)
25	Business & Admin	Managing Director	व्यवसाय आणि प्रशासन	व्यवस्थापकीय संचालक (MD)
26	Business & Admin	General Manager	व्यवसाय आणि प्रशासन	जनरल मॅनेजर
27	Business & Admin	HR Manager	व्यवसाय आणि प्रशासन	HR मॅनेजर
28	Business & Admin	HR Executive	व्यवसाय आणि प्रशासन	HR एक्झिक्युटिव्ह
29	Business & Admin	Marketing Manager	व्यवसाय आणि प्रशासन	मार्केटिंग मॅनेजर
30	Business & Admin	Sales Executive	व्यवसाय आणि प्रशासन	सेल्स एक्झिक्युटिव्ह
31	Business & Admin	Business Consultant	व्यवसाय आणि प्रशासन	बिझनेस कन्सल्टंट
32	Business & Admin	Operations Manager	व्यवसाय आणि प्रशासन	ऑपरेशन्स मॅनेजर
33	Finance & Banking	Chartered Accountant (CA)	वित्त आणि बँकिंग	चार्टर्ड अकाउंटंट (CA)
34	Finance & Banking	Company Secretary (CS)	वित्त आणि बँकिंग	कंपनी सेक्रेटरी (CS)
35	Finance & Banking	Investment Banker	वित्त आणि बँकिंग	इन्व्हेस्टमेंट बँकर
36	Finance & Banking	Stock Trader	वित्त आणि बँकिंग	शेअर बाजार ट्रेडर
37	Finance & Banking	Bank Manager	वित्त आणि बँकिंग	बँक मॅनेजर
38	Finance & Banking	Bank Employee	वित्त आणि बँकिंग	बँक कर्मचारी
39	Finance & Banking	Accountant	वित्त आणि बँकिंग	अकाउंटंट
40	Finance & Banking	Financial Auditor	वित्त आणि बँकिंग	फायनान्शिअल ऑडिटर
41	Finance & Banking	LIC Agent	वित्त आणि बँकिंग	LIC एजंट
42	Finance & Banking	Tax Consultant	वित्त आणि बँकिंग	टॅक्स कन्सल्टंट
43	Medical & Health	Medical Doctor (MBBS)	वैद्यकीय आणि आरोग्य	डॉक्टर (MBBS)
44	Medical & Health	Specialist Physician (MD)	वैद्यकीय आणि आरोग्य	तज्ज्ञ डॉक्टर (MD)
45	Medical & Health	Surgeon (MS)	वैद्यकीय आणि आरोग्य	सर्जन (शस्त्रक्रिया तज्ज्ञ)
46	Medical & Health	Dentist (BDS)	वैद्यकीय आणि आरोग्य	दात तज्ज्ञ (BDS)
47	Medical & Health	Ayurvedic Doctor (BAMS)	वैद्यकीय आणि आरोग्य	आयुर्वेदिक डॉक्टर (BAMS)
48	Medical & Health	Homeopathic Doctor (BHMS)	वैद्यकीय आणि आरोग्य	होमिओपॅथिक डॉक्टर (BHMS)
49	Medical & Health	Staff Nurse	वैद्यकीय आणि आरोग्य	स्टाफ नर्स
50	Medical & Health	Pharmacist	वैद्यकीय आणि आरोग्य	फार्मसिस्ट (औषध विक्रेता)
51	Medical & Health	Physiotherapist	वैद्यकीय आणि आरोग्य	फिजिओथेरपिस्ट
52	Medical & Health	Lab Technician	वैद्यकीय आणि आरोग्य	लॅब टेक्निशियन
53	Medical & Health	Radiologist	वैद्यकीय आणि आरोग्य	रेडिओलॉजिस्ट
54	Medical & Health	Optometrist	वैद्यकीय आणि आरोग्य	डोळ्यांचे तज्ज्ञ
55	Medical & Health	Veterinary Doctor	वैद्यकीय आणि आरोग्य	प्राण्यांचे डॉक्टर
56	Engineering	Civil Engineer	अभियांत्रिकी	सिव्हिल इंजिनिअर
57	Engineering	Mechanical Engineer	अभियांत्रिकी	मेकॅनिकल इंजिनिअर
58	Engineering	Electrical Engineer	अभियांत्रिकी	इलेक्ट्रिकल इंजिनिअर
59	Engineering	Electronics Engineer	अभियांत्रिकी	इलेक्ट्रॉनिक्स इंजिनिअर
60	Engineering	Chemical Engineer	अभियांत्रिकी	केमिकल इंजिनिअर
61	Engineering	Automobile Engineer	अभियांत्रिकी	ऑटोमोबाईल इंजिनिअर
62	Legal & Judiciary	Advocate / Lawyer	कायदा आणि न्याय	वकील
63	Legal & Judiciary	Judge	कायदा आणि न्याय	न्यायाधीश
64	Education	University Professor	शिक्षण	प्रोफेसर (विद्यापीठ)
65	Education	College Lecturer	शिक्षण	लेक्चरर (कॉलेज)
66	Education	School Teacher	शिक्षण	शिक्षक / शिक्षिका
67	Education	School Principal	शिक्षण	मुख्याध्यापक
68	Education	Coaching Class Owner	शिक्षण	स्वतःचे कोचिंग क्लास
69	Govt & Defense	Police Officer	सरकारी आणि संरक्षण	पोलीस अधिकारी
70	Govt & Defense	Army Officer	सरकारी आणि संरक्षण	लष्करी अधिकारी
71	Govt & Defense	Navy Officer	सरकारी आणि संरक्षण	नौदल अधिकारी
72	Govt & Defense	Air Force Officer	सरकारी आणि संरक्षण	वायूदलातील अधिकारी
73	Govt & Defense	IAS Officer	सरकारी आणि संरक्षण	IAS अधिकारी
74	Govt & Defense	IPS Officer	सरकारी आणि संरक्षण	IPS अधिकारी
75	Govt & Defense	State Govt Class 1 Officer	सरकारी आणि संरक्षण	क्लास १ अधिकारी
76	Govt & Defense	Talathi	सरकारी आणि संरक्षण	तलाठी
77	Govt & Defense	Gram Sevak	सरकारी आणि संरक्षण	ग्रामसेवक
78	Agriculture	Farmer	शेती आणि जोडधंदे	बागायतदार / शेतकरी
79	Agriculture	Dairy Farm Owner	शेती आणि जोडधंदे	दुग्धव्यवसाय मालक
80	Agriculture	Poultry Farmer	शेती आणि जोडधंदे	कुक्कुटपालन व्यावसायिक
81	Creative & Arts	Graphic Designer	कला आणि डिझाइन	ग्राफिक डिझाइनर
82	Creative & Arts	Fashion Designer	कला आणि डिझाइन	फॅशन डिझाइनर
83	Creative & Arts	Photographer	कला आणि डिझाइन	फोटोग्राफर
84	Creative & Arts	Videographer	कला आणि डिझाइन	व्हिडिओग्राफर
85	Creative & Arts	YouTuber / Content Creator	कला आणि डिझाइन	युट्युबर
86	Retail & Business	Grocery Store Owner	व्यापार आणि विक्री	किराणा दुकान मालक
87	Retail & Business	Jewellery Shop Owner	व्यापार आणि विक्री	ज्वेलरी शोरूम मालक
88	Retail & Business	Mobile Shop Owner	व्यापार आणि विक्री	मोबाईल दुकान मालक
89	Technical & Skilled	Plumber	तांत्रिक आणि कौशल्य	प्लंबर
90	Technical & Skilled	Electrician	तांत्रिक आणि कौशल्य	इलेक्ट्रिशियन
91	Personal Care	Makeup Artist	सौंदर्य सेवा	मेकअप आर्टिस्ट
92	Personal Care	Beautician	सौंदर्य सेवा	ब्युटिशियन
93	Personal Care	Hair Stylist	सौंदर्य सेवा	हेअर स्टायलिस्ट
94	Personal Care	Salon Owner	सौंदर्य सेवा	सलून मालक
95	Status	Homemaker	सद्यस्थिती / इतर	गृहिणी
96	Status	Student (Undergraduate)	सद्यस्थिती / इतर	विद्यार्थी (UG)
97	Status	Student (Postgraduate)	सद्यस्थिती / इतर	विद्यार्थी (PG)
98	Status	PhD Scholar	सद्यस्थिती / इतर	PhD स्कॉलर
99	Status	Research Scholar	सद्यस्थिती / इतर	रिसर्च स्कॉलर
100	Status	Retired	सद्यस्थिती / इतर	निवृत्त
101	Status	Searching for Job	सद्यस्थिती / इतर	नोकरीच्या शोधात
102	Legal & Judiciary	Arbitrator	कायदा आणि न्याय	लवाद (Arbitrator)
103	Legal & Judiciary	Mediator	कायदा आणि न्याय	मध्यस्थ (Mediator)
104	Technical & Skilled	Senior Technician	तांत्रिक आणि कौशल्य	वरिष्ठ तंत्रज्ञ
105	Technical & Skilled	Civil Contractor	तांत्रिक आणि कौशल्य	सिव्हिल कॉन्ट्रॅक्टर
106	Technical & Skilled	Carpenter	तांत्रिक आणि कौशल्य	सुतार (Carpenter)
109	Other Important	Freelancer	इतर महत्त्वाचे	फ्रीलान्सर
110	Other Important	Social Media Manager	इतर महत्त्वाचे	सोशल मीडिया मॅनेजर
111	Agriculture	Milk Dairy Owner	शेती आणि जोडधंदे	दुग्धव्यवसाय मालक
112	Agriculture	Poultry Farm Owner	शेती आणि जोडधंदे	कुक्कुटपालन मालक
113	Agriculture	Goat Farming Owner	शेती आणि जोडधंदे	शेळीपालन मालक
114	Agriculture	Organic Farmer	शेती आणि जोडधंदे	सेंद्रिय शेतकरी
115	Agriculture	Greenhouse Owner	शेती आणि जोडधंदे	ग्रीनहाऊस / पॉलीहाऊस मालक
116	Agriculture	Nursery Owner	शेती आणि जोडधंदे	रोपवाटिका (Nursery) मालक
117	Agriculture	Agri-Business Owner	शेती आणि जोडधंदे	कृषी सेवा केंद्र मालक
118	Technical (Rural)	Water Pump Mechanic	तांत्रिक (ग्रामीण)	वॉटर पंप मेकॅनिक
119	Technical (Rural)	Motor Mechanic	तांत्रिक (ग्रामीण)	मोटर मेकॅनिक
120	Technical (Rural)	Tractor Mechanic	तांत्रिक (ग्रामीण)	ट्रॅक्टर मेकॅनिक
121	Technical (Rural)	Heavy Vehicle Mechanic	तांत्रिक (ग्रामीण)	जड वाहन मेकॅनिक
122	Technical (Rural)	Welder	तांत्रिक (ग्रामीण)	वेल्डर
123	Technical (Rural)	Fabricator	तांत्रिक (ग्रामीण)	फॅब्रिकेटर
124	Technical (Rural)	Borewell Contractor	तांत्रिक (ग्रामीण)	बोअरवेल कॉन्ट्रॅक्टर
125	Technical (Rural)	Borewell Operator	तांत्रिक (ग्रामीण)	बोअरवेल ऑपरेटर
126	Technical (Rural)	Mason	तांत्रिक (ग्रामीण)	गवंडी (Mason)
127	Business (Local)	Grocery Store Owner	स्थानिक व्यवसाय	किराणा दुकान मालक
128	Business (Local)	General Store Owner	स्थानिक व्यवसाय	जनरल स्टोअर मालक
129	Business (Local)	Building Material Store	स्थानिक व्यवसाय	सिमेंट / बांधकाम साहित्य दुकान
130	Business (Local)	Cloth Merchant	स्थानिक व्यवसाय	कापड व्यापारी
131	Business (Local)	Boutique Owner	स्थानिक व्यवसाय	बुटीक मालक
132	Business (Local)	Commission Agent	स्थानिक व्यवसाय	आडतदार (Agent)
133	Business (Local)	Petrol Pump Owner	स्थानिक व्यवसाय	पेट्रोल पंप मालक
134	Business (Local)	Petrol Pump Manager	स्थानिक व्यवसाय	पेट्रोल पंप मॅनेजर
135	Logistics (Local)	Transport Business Owner	वाहतूक सेवा	ट्रान्सपोर्ट व्यावसायिक
136	Logistics (Local)	Travels Operator	वाहतूक सेवा	ट्रॅव्हल्स ऑपरेटर
139	Govt (Rural)	Police Patil	ग्रामीण प्रशासन	पोलीस पाटील
140	Govt (Rural)	Anganwadi Sevika	ग्रामीण प्रशासन	अंगणवाडी सेविका
141	Govt (Rural)	Asha Worker	ग्रामीण प्रशासन	आशा वर्कर
142	Govt (Rural)	Agriculture Assistant	ग्रामीण प्रशासन	कृषी सहायक
143	Govt (Rural)	Post Master	ग्रामीण प्रशासन	पोस्ट मास्तर
144	Govt (Rural)	Postman	ग्रामीण प्रशासन	पोस्टमन
145	Small Industry	Flour Mill Owner	लघु उद्योग	पिठाची गिरणी मालक
146	Small Industry	Brick Kiln Owner	लघु उद्योग	वीटभट्टी मालक
147	Small Industry	Oil Mill Owner	लघु उद्योग	तेल गिरणी मालक
148	Small Industry	Jaggery House Owner	लघु उद्योग	गुऱ्हाळ मालक
149	Co-operative	Credit Society Manager	सहकारी संस्था	पतसंस्था मॅनेजर
150	Co-operative	Credit Society Staff	सहकारी संस्था	पतसंस्था कर्मचारी
166	Co-operative	Sugar Factory Employee	सहकारी संस्था	साखर कारखाना कर्मचारी
167	Co-operative	Dairy Co-op Secretary	सहकारी संस्था	दूध डेअरी सेक्रेटरी
168	Media (Local)	Studio Owner	स्थानिक मीडिया	फोटोग्राफी स्टुडिओ मालक
169	Media (Local)	CSC Center Owner	स्थानिक मीडिया	महा-ई-सेवा केंद्र मालक
170	Media (Local)	Typing Center Owner	स्थानिक मीडिया	टायपिंग सेंटर मालक
171	Media (Local)	Xerox Center Owner	स्थानिक मीडिया	झेरॉक्स सेंटर मालक
172	Events	Mandap Decorator	इव्हेंट सेवा	मंडप डेकोरेटर
173	Events	Catering Owner	इव्हेंट सेवा	कॅटरिंग मालक
174	Retail Showroom	Automobile Showroom Owner	शोरूम आणि रिटेल	गाडी शोरूम मालक
175	Retail Showroom	Electronics Shop Owner	शोरूम आणि रिटेल	इलेक्ट्रॉनिक्स दुकान मालक
176	Retail Showroom	Mobile Shop Owner	शोरूम आणि रिटेल	मोबाईल दुकान मालक
177	Retail Showroom	Jewellery Shop Owner	शोरूम आणि रिटेल	सराफ / ज्वेलरी दुकान मालक
178	Retail Showroom	Furniture Showroom Owner	शोरूम आणि रिटेल	फर्निचर शोरूम मालक
179	Retail Showroom	Medical Store Owner	शोरूम आणि रिटेल	मेडिकल स्टोअर मालक
180	Education	Coaching Class Owner	शिक्षण	स्वतःचे कोचिंग क्लास
181	Education	Computer Training Owner	शिक्षण	कॉम्प्युटर ट्रेनिंग सेंटर मालक
182	Education	Music Academy Owner	शिक्षण	संगीत अकॅडमी मालक
183	Education	Dance Academy Owner	शिक्षण	डान्स अकॅडमी मालक
184	Manufacturing	MIDC Industry Owner	मॅन्युफॅक्चरिंग	MIDC कारखाना मालक
185	Manufacturing	Food Processing Owner	मॅन्युफॅक्चरिंग	अन्न प्रक्रिया उद्योग मालक
186	Logistics	Packaging Manager	लॉजिस्टिक	पॅकेजिंग मॅनेजर
187	Logistics	Distribution Manager	लॉजिस्टिक	डिस्ट्रिब्युशन मॅनेजर
188	Health	Gym Owner	आरोग्य	जिम मालक
189	Health	Fitness Trainer	आरोग्य	फिटनेस ट्रेनर
190	Health	Pathology Lab Owner	आरोग्य	लॅब मालक (Pathology)
191	Health	Hospital Administrator	आरोग्य	हॉस्पिटल ॲडमिनिस्ट्रेटर
192	Real Estate	Real Estate Builder	रिअल इस्टेट	बिल्डर (Builder)
193	Real Estate	Real Estate Developer	रिअल इस्टेट	डेव्हलपर (Developer)
194	Design	Interior Decorator	डिझाइन	इंटीरियर डेकोरेटर
195	Services	Gas Agency Owner	सेवा क्षेत्र	गॅस एजन्सी मालक
196	Services	Courier Agency Owner	सेवा क्षेत्र	कुरिअर एजन्सी मालक
197	Services	Advertising Agency Owner	सेवा क्षेत्र	जाहिरात एजन्सी मालक
198	Services	Flex Printing Owner	सेवा क्षेत्र	फ्लेक्स प्रिंटिंग मालक
199	Finance (Local)	Investment Advisor	स्थानिक वित्त	इन्व्हेस्टमेंट सल्लागार
200	Finance (Local)	Insurance Advisor	स्थानिक वित्त	इन्शुरन्स सल्लागार
201	Finance (Local)	GST Practitioner	स्थानिक वित्त	GST प्रॅक्टिशनर
202	Finance	NBFC Employee	वित्त सेवा	फायनान्स कंपनी कर्मचारी
203	Hospitality	Hotel Owner	हॉस्पिटॅलिटी	हॉटेल मालक
204	Hospitality	Restaurant Owner	हॉस्पिटॅलिटी	रेस्टॉरंट मालक
205	Hospitality	Banquet Hall Owner	हॉस्पिटॅलिटी	मंगल कार्यालय मालक
206	Hospitality	Marriage Hall Manager	हॉस्पिटॅलिटी	मॅरेज हॉल मॅनेजर
207	Logistics	Tours Operator	वाहतूक आणि लॉजिस्टिक	टूर्स ऑपरेटर
208	Logistics	Travels Operator	वाहतूक आणि लॉजिस्टिक	ट्रॅव्हल्स ऑपरेटर
209	Logistics	Logistics Business Owner	वाहतूक आणि लॉजिस्टिक	लॉजिस्टिक व्यावसायिक
210	Logistics	Cargo Business Owner	वाहतूक आणि लॉजिस्टिक	कार्गो व्यवसाय मालक
211	Technical	CCTV Technician	तांत्रिक सेवा	CCTV टेक्निशियन
212	Technical	Security Systems Installer	तांत्रिक सेवा	सिक्युरिटी सिस्टिम्स इन्स्टॉलर
213	Renewable Energy	Solar Systems Installer	ऊर्जा क्षेत्र	सोलर सिस्टिम्स इन्स्टॉलर
214	IT Services	Software Support Executive	IT सेवा	सॉफ्टवेअर सपोर्ट कर्मचारी
215	Logistics	Warehouse Manager	लॉजिस्टिक	वेअरहाऊस (गोदाम) मॅनेजर
216	Logistics	Supply Chain Coordinator	लॉजिस्टिक	सप्लाय चेन कोऑर्डिनेटर
217	Trade	Import Business Owner	व्यापार	आयात व्यापारी
218	Trade	Export Business Owner	व्यापार	निर्यात व्यापारी
219	E-commerce	Delivery Partner	ई-कॉमर्स	डिलिव्हरी पार्टनर
220	Logistics	Fleet Manager	लॉजिस्टिक	फ्लीट मॅनेजर (गाड्यांचा ताफा)
221	Digital Media	Social Media Influencer	डिजिटल मीडिया	सोशल मीडिया इन्फ्लुएन्सर
222	Digital Media	Digital Marketing Expert	डिजिटल मीडिया	डिजिटल मार्केटिंग एक्सपर्ट
